Lead ID,Last Name,Lead Source,Lead Status,Address - City,Age,Gender,Policy Type,Premium Amount,Follow Up Count,Agent Name,Lead Date
LEAD0460,Dayita Cherian,Website,Closed Won,Mumbai,28.0,Female,Individual Health,8379.0,2.0,Rajesh Sharma,2023-02-02
LEAD0284,Ikshita Nagarajan,Direct Agent,Contacted,Patna,38.0,Female,Critical Illness,10133.0,2.0,Sneha Reddy,2023-08-28
LEAD0173,Ryan Kuruvilla,Agent Referral,Quote Sent,Kolkata,68.0,Male,Individual Health,13942.0,2.0,Sneha Reddy,2024-04-12
LEAD0047,Jagdish Sridhar,Unknown,Closed Lost,Patna,37.0,Male,Individual Health,14802.0,3.0,Sneha Reddy,2023-09-11
LEAD0220,Thomas Dube,Google Ads,Closed Lost,Ahmedabad,18.0,Male,Individual Health,13008.0,2.0,Deepa Iyer,2023-12-06
LEAD0654,Dalbir Biswas,Direct Agent,Closed Lost,Patna,58.0,Male,Group Health,66967.0,2.0,Rajesh Sharma,2023-08-30
LEAD0361,Chatura Dar,Google Ads,Closed Won,Pune,41.0,Female,Family Floater,18688.0,1.0,Rajesh Sharma,2024-11-05
LEAD0540,Isha Chaudhry,Website,Negotiation,Mumbai,66.0,Male,Senior Citizen,35856.0,2.0,Priya Nair,2024-07-13
LEAD0498,Ishita Verma,Walk-in,Closed Lost,Jaipur,53.0,Female,Family Floater,17037.0,4.0,Rajesh Sharma,2024-05-27
LEAD0468,Aarnav Kannan,Website,Closed Won,Hyderabad,25.0,Female,Group Health,64043.0,2.0,Rajesh Sharma,2023-10-19
LEAD0051,Eiravati Khatri,Agent Referral,Closed Lost,Delhi,63.0,Female,Family Floater,44489.0,5.0,Amit Verma,2024-11-26
LEAD0087,Charles Zachariah,Email Campaign,Closed Won,Ahmedabad,22.0,Female,Critical Illness,20097.0,3.0,Amit Verma,2023-11-21
LEAD0954,Robert Kamdar,Website,Closed Won,Pune,24.0,Male,Family Floater,13849.0,2.0,Priya Nair,2024-01-09
LEAD0132,Sathvik Bail,Agent Referral,Quote Sent,Delhi,67.0,Female,Senior Citizen,40409.0,2.0,Amit Verma,2024-11-02
LEAD0793,Bishakha Mall,Direct Agent,Closed Won,Ahmedabad,48.0,Female,Individual Health,19787.0,4.0,Amit Verma,2024-09-05
LEAD0023,Pavani Aurora,Direct Agent,Closed Won,Unknown,70.0,Male,Senior Citizen,40810.0,6.0,Sneha Reddy,2024-07-23
LEAD0318,Adya Thaman,Google Ads,Closed Lost,Mumbai,53.0,Female,Family Floater,19974.0,4.0,Rajesh Sharma,2023-06-03
LEAD0601,Warinder Subramaniam,Website,Closed Won,Delhi,21.0,Female,Individual Health,9358.0,5.0,Anjali Singh,2024-04-01
LEAD0270,Bimala Sandal,Walk-in,Lead,Patna,32.0,Male,Family Floater,19974.0,5.0,Karan Mehta,2024-03-01
